post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,"attribute:30 ML","attribute_data:30 ML",attribute:BOLSA,attribute_data:BOLSA,attribute:BOLSAS,attribute_data:BOLSAS,attribute:CAJA,attribute_data:CAJA,attribute:MEDIDAS,attribute_data:MEDIDAS,"attribute:MEDIDAS 30 ML","attribute_data:MEDIDAS 30 ML",attribute:PAQUETES,attribute_data:PAQUETES,attribute:medidas,attribute_data:medidas,attribute:pa_esencias,attribute_data:pa_esencias,attribute:pa_fragancias,attribute_data:pa_fragancias,attribute:pa_gramaje,attribute_data:pa_gramaje,attribute:pa_medidas,attribute_data:pa_medidas,attribute:pa_paquetes,attribute_data:pa_paquetes
"TRAPEADOR MICROFIBRA EN TOALLA PAYASO MEDIANO",trapeador-microfibra-en-toalla-payaso-mediano,,373,"HILO MICROFIBRA TOALLA

280 GMS",,Publicada,,0,"2026-01-19 22:19:57",3,open,,,,no,no,,79.50,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/trapeador-microfibra-payaso.png ! alt :  ! title : trapeador microfibra payaso ! desc :  ! caption : ",,http://localhost/karmax/product/trapeador-microfibra-en-toalla-payaso-mediano/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Papelería e Higiene Institucional|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAPEADOR MAGITEL RESISTENTE",trapeador-magitel-resistente,,375,"<strong>• HILO MAGITEL RESISTENTE </strong>

<strong>• 230 GMS </strong>

<strong>• CHICO</strong>",,Publicada,,0,"2026-01-19 22:21:31",3,open,,,,no,no,,49,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/trapeador-magitel-resistente.png ! alt :  ! title : trapeador magitel resistente ! desc :  ! caption : ",,http://localhost/karmax/product/trapeador-magitel-resistente/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Papelería e Higiene Institucional|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAPEADOR MAGITEL LA REYNERA",trapeador-magitel-la-reynera,,377,"• HILO MAGITEL RESISTENTE",,Publicada,,0,"2026-01-19 22:23:01",3,open,,,,no,no,,88,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/trapeador-magitel-reynera.png ! alt :  ! title : trapeador magitel reynera ! desc :  ! caption : ",,http://localhost/karmax/product/trapeador-magitel-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Papelería e Higiene Institucional|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toallitas húmedas para mascota",toallitas-humedas-la-reynera,,382,"Toallitas húmedas para mascotas de reynera pets, incluye 30 piezas libres de alcohol, se pueden utilizar de forma segura diariamente.",,Publicada,,0,"2026-01-19 22:59:22",2,open,,,,no,no,,36,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/toallitas-humedas-para-mascotas.png ! alt :  ! title : toallitas humedas para mascotas ! desc :  ! caption : ",,http://localhost/karmax/product/toallitas-humedas-la-reynera/,0,,,simple,,Mascotas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOALLA PETS LA REYNERA",toalla-pets-la-reynera,,385,"Toalla Baño Para Perro Mascota Microfibra Absorbente Reynera Color Amarillo

70*140 CMS",,Publicada,,0,"2026-01-20 18:05:04",2,open,,,,no,no,,162,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/TOALLA-PETS.png ! alt :  ! title : TOALLA PETS ! desc :  ! caption : ",,http://localhost/karmax/product/toalla-pets-la-reynera/,0,,,simple,,Mascotas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GUANTE PETS LA REYNERA",guante-pets-la-reynera,,387,"Pets Guante 2 en 1 Retira Pelo Muerto para Perros y Gatos",,Publicada,,0,"2026-01-20 18:08:57",2,open,,,,no,no,,41,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/GUANTE-PETS.png ! alt :  ! title : GUANTE PETS ! desc :  ! caption : ",,http://localhost/karmax/product/guante-pets-la-reynera/,0,,,simple,,Mascotas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO PETS LA REYNERA",cepillo-pets-la-reynera,,389,"Cepillo dispensador de shampoo para mascotas pet reynera, facilita el baño de las mascotas para cualquier raza o largo de pelo.

Con capacidad de 80 ml.",,Publicada,,0,"2026-01-20 18:27:17",2,open,,,,no,no,,52,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-dispensador.png ! alt :  ! title : cepillo dispensador ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-pets-la-reynera/,0,,,simple,,Mascotas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLSA PETS LA REYNERA",bolsa-pets-la-reynera,,391,"Bolsas para desechos de mascotas

Caja incluye 4 rollos con 15 bolsas c/u
<h1 class=""ui-pdp-title""></h1>",,Publicada,,0,"2026-01-20 18:45:49",2,open,,,,no,no,,120,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/bolsas-pets-reynera.png ! alt :  ! title : bolsas pets reynera ! desc :  ! caption :  | http://localhost/karmax/wp-content/uploads/2026/01/bolsa-pets.png ! alt :  ! title : bolsa pets ! desc :  ! caption : ",,http://localhost/karmax/product/bolsa-pets-la-reynera/,0,,,simple,,"Bolsas y Manejo de Residuos|Mascotas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEBEDERO PETS LA REYNERA",bebedero-pets-la-reynera,,394,"Bebedero de agua con contenedor de bolsa mascotas reynera, color morado

Portable multifuncional",,Publicada,,0,"2026-01-20 18:53:03",2,open,,,,no,no,,222,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/bebedero-pets-reynera.png ! alt :  ! title : bebedero pets reynera ! desc :  ! caption : ",,http://localhost/karmax/product/bebedero-pets-la-reynera/,0,,,simple,,Mascotas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RODILLO PETS QUITA PELUSA LA REYNERA",rodillo-quita-pelusa-la-reynera,,409,"Rodillo Quita pelusas con 80 hojas en su rollo, cada una de 20.7 x 14.9 cm, perfecto para mantener tus espacios limpios y sin pelusas.",,Publicada,,0,"2026-01-21 18:17:09",2,open,,,,no,no,,74,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/quitapelusa.png ! alt :  ! title : quitapelusa ! desc :  ! caption :  | http://localhost/karmax/wp-content/uploads/2026/01/rodillo-quita-pelusa.png ! alt :  ! title : rodillo quita pelusa ! desc :  ! caption : ",,http://localhost/karmax/product/rodillo-quita-pelusa-la-reynera/,0,,,simple,,"Hoteles & Hospitalidad|Utensilios de Limpieza|Mascotas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JERINGA CUCARACHA SANGHA GEL",jeringa-cucaracha-sangha-gel,,412,"Veneno para cucarachas Sangha gel, jeringa con 30 gramos, ideal para eliminar cucarachas de forma efectiva y discreta en interiores, actuando para un control duradero y seguro, sin olores ni manchas.

&nbsp;",,Publicada,,0,"2026-01-21 20:05:14",2,open,,,,no,no,,357,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/jeringa-cucarachas.png ! alt :  ! title : jeringa cucarachas ! desc :  ! caption : ",,http://localhost/karmax/product/jeringa-cucaracha-sangha-gel/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Control de plagas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VENENO RATOX PASTA",veneno-ratox-pasta,,414,"Veneno en pasta para rata en tubo con 50 gramos",,Publicada,,0,"2026-01-21 20:27:47",2,open,,,,no,no,,77,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/ratox-1.png ! alt :  ! title : ratox ! desc :  ! caption : ",,http://localhost/karmax/product/veneno-ratox-pasta/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Control de plagas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VENENO PEGAMOSCAS",veneno-pegamoscas,,422,"Veneno pegamoscas, caja con 12 piezas",,Publicada,,0,"2026-01-21 21:30:16",2,open,,,,no,no,,198,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/veneno-pegamoscas.png ! alt :  ! title : veneno pegamoscas ! desc :  ! caption : ",,http://localhost/karmax/product/veneno-pegamoscas/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Restaurantes & Cocinas|Control de plagas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VENENO HORMIGA PRESTO",veneno-hormiga-presto,,424,"Es un Insecticida granulado eliminador de plagas de jardín. Contiene 180 gramos.

Por su formulación granulada de liberación lenta llega a controlar plagas del suelo que causan daños a las raíces de las plantas. Efectivo contra la hormiga cabezona, hormiga de fuego, hormiga segadora, hormiga arriera.",,Publicada,,0,"2026-01-21 21:39:53",2,open,,,,no,no,,58,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/presto-hormigas-1.png ! alt :  ! title : presto hormigas ! desc :  ! caption : ",,http://localhost/karmax/product/veneno-hormiga-presto/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Control de plagas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PAQUETE 3 LAVADO DE CARROS",paquete-3-lavado-de-carros,,454,"<strong>PAQUETE 3</strong>
<ul>
 	<li>1 LITRO ABRILLANTADOR EXTERIOR (TIPO ARMOR ALL)</li>
 	<li>550 ML ABRILLANTADOR INTERIOR ALTA CALIDAD</li>
 	<li>1 LITRO SHAMPOO CON CERA PARA AUTO</li>
 	<li>500 ML CREMA EXTERIOR</li>
 	<li>500 ML CREMA EXTERIOR</li>
 	<li>1 ESPONJA PARA AUTO</li>
 	<li>1 MECHUDO REFORZADO</li>
</ul>",,Publicada,,0,"2026-01-23 18:15:23",2,open,,,,no,no,,385,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/karmax_autos_1000.jpg ! alt :  ! title : karmax_autos_1000 ! desc :  ! caption : ",,http://localhost/karmax/product/paquete-3-lavado-de-carros/,0,,,simple,,"Industria & Manufactura|Automotriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAPEADOR GIRATORIO LA REYNERA",trapeador-giratorio-la-reynera,,475,"Trapeadot microfibra <span id=""productTitle"" class=""a-size-large product-title-word-break"">Reynera Giratorio y Retráctil</span>

<span id=""productTitle"" class=""a-size-large product-title-word-break"">Mop con Mango Extra Largo en Color Magenta, Ideal para una Limpieza Profunda, Rápida y sin Esfuerzo.</span>",,Publicada,,0,"2026-01-23 21:54:05",3,open,,,,no,no,,216,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/trapeador-giratorio-reynera.png ! alt :  ! title : trapeador giratorio reynera ! desc :  ! caption : ",,http://localhost/karmax/product/trapeador-giratorio-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAPEADOR PREPARADO MEDIANO",trapeador-preparado-mediano,,476,"HILO AZUL SUAVE Y ACEITE

750 GMS",,Publicada,,0,"2026-01-23 21:54:54",3,open,,,,no,no,,67,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/trapeador-preparado-mediano.jpeg ! alt :  ! title : trapeador preparado mediano ! desc :  ! caption : ",,http://localhost/karmax/product/trapeador-preparado-mediano/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza|Higiene y Desinfección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MECHUDO PARA AUTO REFORZADO",mechudo-para-auto-reforzado,,482,"Mechudo preparado con aceite. Sacudido quitapolvo para auto.
<h1 class=""product_title entry-title""></h1>",,Publicada,,0,"2026-01-23 22:06:14",3,open,,,,no,no,,49.80,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/mechudo.jpeg ! alt :  ! title : mechudo ! desc :  ! caption : ",,http://localhost/karmax/product/mechudo-para-auto-reforzado/,0,,,simple,,Automotriz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABANICO GRANDE CON BASTON",abanico-grande-con-baston,,483,"VARIOS COLORES",,Publicada,,0,"2026-01-23 22:07:35",3,open,,,,no,no,,49,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/abanico-grande-con-baston.jpeg ! alt :  ! title : abanico grande con baston ! desc :  ! caption : ",,http://localhost/karmax/product/abanico-grande-con-baston/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Químicos de Limpieza|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEPILLO MAGNETICO LA REYNERA",cepillo-magnetico-la-reynera,,484,"Escoba con doble tipo de fibra que atrapa y retiene pelo y polvo; perfecta para un hogar con mascotas. Con tubo metálico diseñado con refuerzo adicional para mayor control y fuerza brindando un mejor barrido.",,Publicada,,0,"2026-01-23 22:08:06",3,open,,,,no,no,,101,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/karmax/wp-content/uploads/2026/01/cepillo-magnetica-reynera.png ! alt :  ! title : cepillo magnetica reynera ! desc :  ! caption : ",,http://localhost/karmax/product/cepillo-magnetico-la-reynera/,0,,,simple,,"Hospitales & Clínicas|Hoteles & Hospitalidad|Industria & Manufactura|Oficinas & Corporativos|Restaurantes & Cocinas|Utensilios de Limpieza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
